Company,Location ,Title,Name ,Focus,Experience,,,,,,,,,,,,
Abax Global Capital,Hong Kong ,Managing Partner & CEO,Donald Yang,,,,,,,,,,,,,,
,Hong Kong ,Managing Partner & PRESIDENT,Michael Wang,,,,,,,,,,,,,,
,Hong Kong ,Managing Director,Andy Shpiz,,,,,,,,,,,,,,
,Hong Kong ,Managing Director,Kenneth Ngo,,,,,,,,,,,,,,
,Hong Kong ,Managing Director,Shen Lin,,,,,,,,,,,,,,
,Hong Kong ,Managing Director,Zhu Xiaodong,,,,,,,,,,,,,,
,Hong Kong ,General Counsel,Rober G. Wray,,,,,,,,,,,,,,
,Hong Kong ,Director,Gracie Mi,,,,,,,,,,,,,,
,Hong Kong ,Investment Professional,Jason Xu,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Actis,Beijing,Partner and Head of China,Dong Zhong,Consumer,Retiring,,,,,,,,,,,,
,Beijing,Partner,Jason Zhang,Healthcare,Promoted to Partner in Nov 2014,,,,,,,,,,,,
,Shanghai,Partner,Max Lin,Consumer & Industrials,"Joined from Hopu in Sep 12, has not closed a deal, trying hard. Focuses on consumer and Industrial",,,,,,,,,,,,
,Shanghai,Operation Director,Paul Leung,portfolio mgt,"Ex Asurion, Pfizer,  Johnson and Johnson, Sanofi, Unilever and Gillette ",,,,,,,,,,,,
,Shanghai,Director,Angus Or,Operation,Cannot be confirmed through Homepage,,,,,,,,,,,,
,Shanghai,Principal,Zheyi Gu,Healthcare,Joined a corporate. Ex UBS,,,,,,,,,,,,
,Hong Kong,Vice President,Edwina Chan,iShares COO & Strategy,Joined BlackRock in 2020 from Starbucks corporate job. MBA. Ex BCG. Now at BlackRock,,,,,,,,,,,,
,Beijing,Senior Principal,Quan Miao,,Ex CVC. Left to join Chenyi Capital,,,,,,,,,,,,
,Shanghai,Principal,Sophie Yao Liu,,"Ex Citic Capital, 8yr of work experience",,,,,,,,,,,,
,Shanghai,Director,Troy Chen,Healthcare,"Left Actis in 2018 for private fund  Ex MS IBD SHA, ex BCG. Now at Huaxing HC",,,,,,,,,,,,
,Beijing,Principal,LawrenceWu,,"Ex GS, MBA 2013 Cornell, ",,,,,,,,,,,,
,Jakarta,"Chief Strategy Officer, Head of Corp. Development",Ryan Wei,b2b ecomm,"Joined GudanAda in 2020. Left Actis in 2017 for MD position at DealGlobe. Ex Partners Group PE, MBO, TD Securities Inc., Bank of Canada and Greenfiniti Consulting and Investment. Now at GudangAda",,,,,,,,,,,,
,Shanghai,Analyst,Ocean Song,Ocean Song,"left to join AP in SHA. Joined in 19, Analyst. Ex JPM SHA tyeam 17-19",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Advent,Shanghai,Managing Director,Andrew Li,,Ex WP,,,,,,,,,,,,
,Shanghai,Associate,Corey Li,,"ex JMI. Prefers SHA, wife in SHA",,,,,,,,,,,,
,Shanghai,Principal,David Chen,,,,,,,,,,,,,,
,Shanghai,Principal,Sean He,,Ex WP,,,,,,,,,,,,
,Shanghai,Principal,Irene Liu,,ex Apax,,,,,,,,,,,,
,Shanghai,Vice President,Paul Zhang,HC/Consumer,,,,,,,,,,,,,
,Shanghai,Associate,Henry Qu,,,,,,,,,,,,,,
,Shanghai,Associate,Ian Jiang,,"Joined in 21, ex RBC",,,,,,,,,,,,
,Shanghai,Associate,Ivan Zhang,,"Joined in 21, ex Rothschild",,,,,,,,,,,,
,Shanghai,Associate,Linda Qian,,going to mba,,,,,,,,,,,,
,Shanghai,Associate,Linna Zhang,,"Joined in 21, ex KKR Credit",,,,,,,,,,,,
,Shanghai,Associate,Ruoshi Qi,,Ex BAML. Wants to do MBA,,,,,,,,,,,,
,Hong Kong,Vice President,Serena Bian,TMT,"Ex Pemira. Happy at Advent, not open to speak",,,,,,,,,,,,
,Shanghai,Associate,Tracey Mengfan Cao,,"Joined in 18, ex Jefferies NY",,,,,,,,,,,,
,Shanghai,Associate,Ivy Yeung,,"Joined in 22, ex Audax",,,,,,,,,,,,
,Shanghai,Associate,Ciel Chen,,"Joined in 22, ex CVC JPM",,,,,,,,,,,,
,Shanghai,Assoicate,Yuchen Zhu,,"Joined in 20, ex DB NY cover FIG and RE",,,,,,,,,,,,
,Shanghai,Associate,Zixing Chen,,ex Citi NY. Left for HBS,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ADIA,Abu Dhabi,"Managing Director, Head of China PE",David Yang,,"Joined in 18, ex CVC, EW Health, Warburg Pincus, McKinsey, Fidelity",,,,,,,,,,,,
,Abu Dhabi,Principal,Lei Hao,,"Joined in 20, ex Blackstone, Apax, Lehman",,,,,,,,,,,,
,Abu Dhabi,Vice President,Fisher Yu,,"Joined in 20, ex FTV, UBS",,,,,,,,,,,,
,Abu Dhabi,Vice President,Ethan Shen,,"Joined in 20, ex EQT, Hony, Khazanah Nasional Berhad",,,,,,,,,,,,
,Abu Dhabi,Vice President,Federico Polo,,"Joined in 16, ex Citi",,,,,,,,,,,,
,Abu Dhabi,Vice President,Alvin Lau,,"Joined in 18, ex JPM",,,,,,,,,,,,
,Abu Dhabi,Vice President,Jerry Tang,,,,,,,,,,,,,,
,Abu Dhabi,Associate,Rick Li,,"Joined in 21, ex Sensetime, MS",,,,,,,,,,,,
,Abu Dhabi,Associate,William Lu,,"Joined in 21, ex MS",,,,,,,,,,,,
,Abu Dhabi,Associate,Yuchen Liu,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Affinity,Beijing,Managing Director,Anthony Wu,,"Got fired in Mar,17. Joined in June 2011",,,,,,,,,,,,
,Hong Kong,Managing Partner,CJ Lee,,,,,,,,,,,,,,
,Hong Kong,Managing Partner,YT Park,,Has been relocated to SGN office,,,,,,,,,,,,
,Beijing,Managing Partner; Head of China,Kenneth Liu,,"Hkie, not fluent in Chinese",,,,,,,,,,,,
,Hong Kong,Chairman and Managing Partner,KY Tang,,Ex UBS,,,,,,,,,,,,
,Beijing,Vice President,Mark Fan,,"rejoined in 03/2016 after MBA from , TaiwaneseWharton",,,,,,,,,,,,
,Beijing,Executive Director,Long Qian,,ex Bridgepoint,,,,,,,,,,,,
,Hong Kong,Partner ,Queenie Ho,IR,Hong Kong,,,,,,,,,,,,
,Beijing,Partner,Sam Sun,,,,,,,,,,,,,,
,Beijing,Managing Director,Zhen She,,"Joined in 2014.  Ex WP.  Australian, limited China exp.  Mandarin very average…",,,,,,,,,,,,
